name,email,website,phone,address,category,location,contact_confidence,priority,ai_service_score,needs_ai_voice,needs_web_presence,needs_reputation_mgmt,needs_call_button,rating,reviews,opportunities
Royal Flushed Plumbing & Gasfitting,info@royalflushed.com,https://royalflushed.com/,+61 422 365 747,"1 Mt Morton Rd, Belgrave South VIC 3160, Australia",plumbers,"Melbourne, Australia",high,hot,100,True,True,True,True,5.0,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'click_to_call', 'online_booking']"
Plumblux Pty Ltd,info@plumblux.com.au,https://plumblux.com.au/,+61 458 064 924,"347 Waverley Rd, Mount Waverley VIC 3149, Australia",plumbers,"Melbourne, Australia",high,hot,100,True,True,True,True,4.9,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'click_to_call', 'online_booking']"
Plumb Medic - Emergency Plumber Melbourne,info@plumbmedic.com.au,https://www.plumbmedic.com.au/,,"3/394 Collins St, Melbourne VIC 3000, Australia",plumbers,"Melbourne, Australia",high,hot,100,True,True,True,True,4.9,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'click_to_call', 'online_booking']"
24 Hour Melbourne Plumber,info@24hourmelbourneplumbers.com.au,https://24hourmelbourneplumbers.com.au/,+61 1300 009 477,"540 Little Collins St, Melbourne VIC 3000, Australia",plumbers,"Melbourne, Australia",high,hot,100,True,True,True,True,4.2,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'click_to_call', 'online_booking']"
Your Pro Plumber - Blocked Drain & Emergency Plumber | Melbourne,,http://www.yourproplumber.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing&utm_content=website_button,+61 1300 100 977,"24/139 Cardigan St, Carlton VIC 3053, Australia",plumbers,"Melbourne, Australia",low,hot,100,True,True,True,True,4.9,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'click_to_call', 'online_booking']"
Richmond Smiles Dental,,https://www.richmondsmiles.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,+61 3 9428 6587,"Unit 1/84 Church St, Richmond VIC 3121, Australia",dentists,"Melbourne, Australia",low,hot,100,True,True,True,True,5.0,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'online_booking', 'click_to_call']"
"Seddon Dental, Victoria St Clinic",user@domain.com,http://www.seddondental.com.au/,+61 3 9687 7688,"184 Victoria St, Seddon VIC 3011, Australia",dentists,"Melbourne, Australia",high,hot,100,True,True,True,True,4.7,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'online_booking', 'click_to_call']"
Gorgeous Smiles Dentist Melbourne,info@gorgeoussmiles.com.au,https://www.gorgeoussmiles.com.au/,+61 3 9042 0483,"121 Exhibition St, Melbourne VIC 3000, Australia",dentists,"Melbourne, Australia",high,hot,100,True,True,True,True,4.9,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'online_booking', 'click_to_call']"
Smile Solutions - Dentist Melbourne,example@mail.com,https://www.smilesolutions.com.au/,+61 3 9650 4920,"Level 1, 220 Collins Street, Manchester Unity Building, Melbourne VIC 3000, Australia",dentists,"Melbourne, Australia",high,hot,100,True,True,True,True,4.9,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'online_booking', 'click_to_call']"
Australian Dentists Clinic,adcmelbournedentist@gmail.com,https://dentistsclinic.com.au/locations/melbourne-cbd/index.html,+61 3 9088 0257,"Level 3/620 Bourke St, Melbourne VIC 3000, Australia",dentists,"Melbourne, Australia",high,hot,100,True,True,True,True,4.8,,"['seo_optimization', 'ai_chatbot', 'reputation_management', 'online_booking', 'click_to_call']"
Melbourne HVAC Services,,https://www.melbournehvacservices.com.au/,+61 1300 247 266,"Curnola Ave, Doncaster VIC 3108, Australia",hvac,"Melbourne, Australia",low,hot,100,True,True,True,True,5.0,,"['ai_chatbot', 'seo_optimization', 'reputation_management', 'click_to_call', 'online_booking']"
Air Elite,,https://www.airelite.com.au/,+61 1300 235 483,"489/585-587 Little Collins St, Melbourne VIC 3000, Australia",hvac,"Melbourne, Australia",low,hot,100,True,True,True,True,4.9,,"['ai_chatbot', 'seo_optimization', 'reputation_management', 'click_to_call', 'online_booking']"
Midea HVAC & Energy Australia,,https://mdhome.com.au/,+61 1300 726 002,"1513 Dandenong Rd, Oakleigh VIC 3166, Australia",hvac,"Melbourne, Australia",low,hot,100,True,True,True,True,4.9,,"['ai_chatbot', 'seo_optimization', 'reputation_management', 'click_to_call', 'online_booking']"
Reliance Heating and Cooling,enquiries@easyair.com.au,https://easyair.com.au/,+61 1300 652 232,"3/179 Queen St, Melbourne VIC 3000, Australia",hvac,"Melbourne, Australia",high,hot,100,True,True,True,True,4.7,,"['ai_chatbot', 'seo_optimization', 'reputation_management', 'click_to_call', 'online_booking']"
MD Tradeworks - Air Conditioner Services Melbourne | HVAC Systems,siddhantjain6@gmail.com,https://mdtradeworks.com.au/?utm_source=Google&utm_medium=GMB&utm_campaign=GMB,+61 3 9449 8416,"26 Carson Rd, Deer Park VIC 3023, Australia",hvac,"Melbourne, Australia",high,hot,100,True,True,True,True,4.8,,"['ai_chatbot', 'seo_optimization', 'reputation_management', 'click_to_call', 'online_booking']"
