source_query,category,location,name,address,phone,website,website_missing,rating,reviews,place_id,discovered_at,business_hours,business_type,maps_url,dedupe_key,first_seen_date,last_seen_date,scan_history,status_changes,duplicate_of,email,emails_found,contact_page_url,social_links,contact_confidence,owner_email_detected,has_complete_contact_info,analysis_status,has_chatbot,has_click_to_call,has_booking,tech_sophistication_score,lead_score,priority,score_reasons,phones_found,website_scraped_at,website_scrape_success,pipeline_stage,initial_contact_date,contact_method,followup_due_date,response_status,last_interaction,notes
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Robinson Gill Lawyers,"990 Whitehorse Rd, Box Hill VIC 3128, Australia",+61398903321,https://www.robinsongill.com.au/,False,4.7,,0x6ad640b1a7c7a327:0,2026-05-26T21:01:22.178249+00:00,Wednesday8:30 AM–5:15 PMThursday8:30 AM–5:15 PMFriday8:30 AM–5:15 PMSaturdayClosedSundayClosedMonday8:30 AM–5:15 PMTuesday8:30 AM–5:15 PM,Law firm,https://www.google.com/maps/place/Robinson+Gill+Lawyers/data=!4m7!3m6!1s0x6ad640b1a7c7a327:0x8179b48dea616ef2!8m2!3d-37.818645!4d145.124812!16s%2Fg%2F1td7hw9n!19sChIJJ6PHp7FA1moR8m5h6o20eYE?authuser=0&hl=en&rclk=1,3c7350a67b68ead660414adafd0c9a45618d6e8a09f3ded45d4002ed506ed1eb,2026-05-27,2026-05-27,['2026-05-27'],[],,info@robinsongill.com.au,['info@robinsongill.com.au'],https://www.robinsongill.com.au/contact-us,"{'facebook': 'https://www.facebook.com/RobinsonGillLawyers', 'instagram': 'https://www.instagram.com/robinsongill.lawyers/', 'linkedin': 'https://www.linkedin.com/company/robinson-gill-lawyers', 'twitter': 'https://twitter.com/robinson_gill', 'youtube': None}",high,False,True,fetch_error:403 Client Error: Forbidden for url: https://www.robinsongill.com.au/,False,False,False,0,100,high,No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),"['+ 1800000', '03 9890 3321', '+61398903321']",2026-05-27T07:05:27+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Nevett Ford Lawyers Melbourne,"Level 16, Rialto South Tower, 525 Collins St, Melbourne VIC 3000, Australia",+61396147111,https://www.nevettfordlawyers.com.au/?utm_source=google&utm_medium=gmb&utm_campaign=google_business_profile,False,4.9,,0x6ad65d4dbc5c2d15:0,2026-05-26T21:01:32.422823+00:00,Wednesday9 AM–5:30 PMThursday9 AM–5:30 PMFriday9 AM–5:30 PMSaturdayClosedSundayClosedMonday9 AM–5:30 PMTuesday9 AM–5:30 PM,Legal services,https://www.google.com/maps/place/Nevett+Ford+Lawyers+Melbourne/data=!4m7!3m6!1s0x6ad65d4dbc5c2d15:0xda5cddb98e5c0b04!8m2!3d-37.818332!4d144.95752!16s%2Fg%2F1vq74_fs!19sChIJFS1cvE1d1moRBAtcjrndXNo?authuser=0&hl=en&rclk=1,bed53ffd99e73e28191ccd63a812ea33a194b38e46165bf1e7fa5229ecfff277,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,,[],,{},low,True,False,ok,False,True,True,55,70,high,No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),['+61396147111'],,False,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",AJH LAWYERS,"Level 15/190 Queen St, Melbourne VIC 3000, Australia",+61396022235,https://www.ajhlawyers.com.au/,False,4.9,,0x6ad65d4b4aa0fc43:0,2026-05-26T21:01:41.580131+00:00,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,Law firm,https://www.google.com/maps/place/AJH+LAWYERS/data=!4m7!3m6!1s0x6ad65d4b4aa0fc43:0x833dd6648c12958a!8m2!3d-37.8140006!4d144.9606549!16s%2Fg%2F1thgblm5!19sChIJQ_ygSktd1moRipUSjGTWPYM?authuser=0&hl=en&rclk=1,6367229af6fd67ce7c5fa0077a7a494f0691d8431c6304b0ed61f9e87dd518dd,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,info@ajhlawyers.com.au,['info@ajhlawyers.com.au'],https://www.ajhlawyers.com.au/contact,"{'facebook': 'https://www.facebook.com/ajhlawyers', 'instagram': None, 'linkedin': None, 'twitter': 'https://twitter.com/ajhlawyers?lang=en', 'youtube': None}",high,False,True,ok,True,True,True,50,30,low,Email found (+15) | Phone found (+10) | Complete contact info (+5),"['03) 9602 2235', '+61396022235']",2026-05-27T07:06:24+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Melbourne Law Offices,"Suite 408, Level 4/517 Flinders Ln, Melbourne VIC 3000, Australia",+611300005786,http://melbournelawoffices.com.au/,False,5.0,,0x6ad65d5208fb6ecb:0,2026-05-26T21:01:49.202590+00:00,Wednesday9 AM–5 PMThursday9 AM–5 PMFriday9 AM–5 PMSaturdayClosedSundayClosedMonday9 AM–5 PMTuesday9 AM–5 PM,General practice attorney,https://www.google.com/maps/place/Melbourne+Law+Offices/data=!4m7!3m6!1s0x6ad65d5208fb6ecb:0xc7cd09255d9a4d0!8m2!3d-37.8198425!4d144.9566328!16s%2Fg%2F11fxw9tgt0!19sChIJy277CFJd1moR0KTZVZLQfAw?authuser=0&hl=en&rclk=1,e614f4e0ff26ab45a2ed2d38da14c84eeda80e818efa04514530481cf5f5daaa,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,admin@melbournelawoffices.com.au,['admin@melbournelawoffices.com.au'],http://melbournelawoffices.com.au/contact,"{'facebook': 'https://www.facebook.com/melbournelawoffices/', 'instagram': 'https://www.instagram.com/melbourne_law_offices/', 'linkedin': None, 'twitter': None, 'youtube': None}",high,False,True,ok,False,True,True,60,60,medium,No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),"['0406784580', '0 0 512 512', '+61406784580', '+611300005786']",2026-05-27T07:06:48+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Go To Court Lawyers Melbourne,"Level 13/575 Bourke St, Melbourne VIC 3000, Australia",+611300636846,https://www.gotocourt.com.au/vic/melbourne-lawyers/,False,4.5,,0x6ad65d4c52530263:0,2026-05-26T21:01:55.720295+00:00,WednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,Law firm,https://www.google.com/maps/place/Go+To+Court+Lawyers+Melbourne/data=!4m7!3m6!1s0x6ad65d4c52530263:0xed2f910dd9f048fe!8m2!3d-37.8165213!4d144.956688!16s%2Fg%2F1ptvwx9sy!19sChIJYwJTUkxd1moR_kjw2Q2RL-0?authuser=0&hl=en&rclk=1,832eed49919e96dfbc2c9a53e5095f6e99770ee35ae51ae42f84dcfc955852d1,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,admin@platfirm.ai,"['admin@platfirm.ai', 'your@email.com']",https://www.gotocourt.com.au/contact,"{'facebook': 'https://www.facebook.com/gotocourt/', 'instagram': 'https://www.instagram.com/gotocourt/', 'linkedin': 'https://www.linkedin.com/company/go-to-court/', 'twitter': 'https://twitter.com/gotocourtlawyer', 'youtube': 'https://www.youtube.com/c/GotocourtAulawyers'}",high,False,True,ok,False,True,True,35,55,medium,No chatbot | Low-tech website | Phone found (+10),"['+0490-0491', '+0308-0309', '0 110-8 4 4 0', '+0102-0103', '+0303-0304', '+0128-0129', '+0168-0169', '+0110-0111', '+611300636846', '+0300-0301', '+0152-0153']",2026-05-27T07:07:01+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Carbone Lawyers Melbourne,"302 King St, Melbourne VIC 3000, Australia",+611800369888,https://www.carbonelawyers.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=melbourne,False,4.8,,0x6ad65d73ed5b6bf1:0,2026-05-26T21:02:03.822920+00:00,Wednesday8:30 AM–5:30 PMThursday8:30 AM–5:30 PMFriday8:30 AM–5:30 PMSaturdayClosedSundayClosedMonday8:30 AM–5:30 PMTuesday8:30 AM–5:30 PM,Law firm,https://www.google.com/maps/place/Carbone+Lawyers+Melbourne/data=!4m7!3m6!1s0x6ad65d73ed5b6bf1:0x3baa62ee255e45d8!8m2!3d-37.8129944!4d144.9544427!16s%2Fg%2F11gxm9wrkq!19sChIJ8Wtb7XNd1moR2EVeJe5iqjs?authuser=0&hl=en&rclk=1,479f039542a66e9cb4dfbba95bb7242cc3b3fb434269fe5a2fcb9e369ee7cdf4,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,info@carbonelawyers.com.au,['info@carbonelawyers.com.au'],https://www.carbonelawyers.com.au/contact,"{'facebook': 'https://www.facebook.com/carbonelawyers/', 'instagram': 'https://www.instagram.com/CarboneLawyers/', 'linkedin': 'https://www.linkedin.com/company/carbonelawyers/', 'twitter': None, 'youtube': 'https://www.youtube.com/channel/UCD1vaZcz05jk0me1SzSrZxw'}",high,False,True,ok,False,True,False,100,80,high,No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Complete contact info (+5),"['01-08-07-30-06-', '0976311 4', '01-07-00-49-12-', '0793 25 16', '0658 25 18', '01-09-10-52-10-', '0976311 1', '039 0-192-85', '03-05-08-24-30-', '0976311 0', '+61391026299', '0976311 9', '0592 22 17', '+611800369888', '03-17-00-04-03-', '0412 345 678', '0976311 10']",2026-05-27T07:07:21+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Best Hooper Lawyers,"Level 12/10 Queen St, Melbourne VIC 3000, Australia",+61396708951,http://www.besthooper.com.au/,False,4.8,,0x6ad65d496783d335:0,2026-05-26T21:02:10.778323+00:00,Wednesday9 AM–5 PMThursday9 AM–5 PMFriday9 AM–5 PMSaturdayClosedSundayClosedMonday9 AM–5 PMTuesday9 AM–5 PM,Law firm,https://www.google.com/maps/place/Best+Hooper+Lawyers/data=!4m7!3m6!1s0x6ad65d496783d335:0x43db66bcab69cef9!8m2!3d-37.818443!4d144.962562!16s%2Fg%2F1tg9sv2g!19sChIJNdODZ0ld1moR-c5pq7xm20M?authuser=0&hl=en&rclk=1,4bce88f678aadc553086181c0a05e23e48ce0a93b771a2df6a3da0fc7759a3b0,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,mail@besthooper.com.au,['mail@besthooper.com.au'],http://www.besthooper.com.au/contact,"{'facebook': None, 'instagram': None, 'linkedin': None, 'twitter': None, 'youtube': None}",high,True,True,ok,False,True,False,75,90,high,No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),"['0396702954', '0396708951', '+61396708951']",2026-05-27T07:07:43+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Pentana Stanton Lawyers,"Level 3 & Level 5/552 Lonsdale St, Melbourne VIC 3000, Australia",+61390022800,https://pentanastanton.com.au/,False,4.4,,0x6ad65d3db3b725c1:0,2026-05-26T21:02:17.855997+00:00,,Law firm,https://www.google.com/maps/place/Pentana+Stanton+Lawyers/data=!4m7!3m6!1s0x6ad65d3db3b725c1:0xd8f72637142409a!8m2!3d-37.8138973!4d144.9558921!16s%2Fg%2F11pwx_rtyv!19sChIJwSW3sz1d1moRmkBCcWNyjw0?authuser=0&hl=en&rclk=1,b0a36adb6f94f51f96e6c39179ad43bf00e4acde4a4dd2e2482fdbd912ee460d,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,reception@pstanton.com.au,['reception@pstanton.com.au'],https://pentanastanton.com.au/contact,"{'facebook': 'https://www.facebook.com/profile.php?id=61555409553358', 'instagram': None, 'linkedin': 'https://www.linkedin.com/company/pentana-stanton-lawyers/?originalSubdomain=au', 'twitter': 'https://twitter.com/@PentanaL67828', 'youtube': 'https://www.youtube.com/channel/UC0RUiBmBACu6kKaDM02GpaA'}",high,True,True,ok,True,True,False,70,60,medium,No booking flow | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),"['0 0 0 32 401', '035 0 0 0 384', '0 0 384 512', '+61390022800', '0 0 448 512', '0 1 1-20 20 20', '0 0 512 512', '03) 900 22 800']",2026-05-27T07:08:09+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Weinberg Lawyers,"96/102 Elizabeth St, Melbourne VIC 3000, Australia",+61421966943,https://www.weinberglawyers.com.au/,False,4.8,,0x6ad642b49391df07:0,2026-05-26T21:02:27.416850+00:00,WednesdayOpen 24 hoursThursdayOpen 24 hoursFriday12 AM–5:30 PMSaturday7 PM–12 AMSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hours,Law firm,https://www.google.com/maps/place/Weinberg+Lawyers/data=!4m7!3m6!1s0x6ad642b49391df07:0x222bb93c4bfe01c3!8m2!3d-37.8155775!4d144.9639767!16s%2Fg%2F11cnbwc9lw!19sChIJB9-Rk7RC1moRwwH-Szy5KyI?authuser=0&hl=en&rclk=1,c92aee449bd68cf35119e4f762101cf412791b677bd193c116e977e8c176df33,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,david@weinberglawyers.com.au,"['david@weinberglawyers.com.au', 'user@domain.com']",https://www.weinberglawyers.com.au/contact,"{'facebook': 'http://www.facebook.com/2008/fbml', 'instagram': 'https://www.instagram.com/weinberglawyers/', 'linkedin': 'https://www.linkedin.com/in/weinberg-david/?originalSubdomain=au', 'twitter': None, 'youtube': None}",high,True,True,ok,False,False,False,25,130,high,No chatbot | No click-to-call | No booking flow | Low-tech website | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),"['+2024-02-04', '02-10-10-26-09-', '+2025-04-18', '07-05-17-27-50-', '+2025-01-16', '+61 421 966 943', '0421 966 943', '+2024-07-21', '08-26-22-30-00-', '05-20-08-56-39', '+2024-02-06', '+2024-02-09', '+2024-02-10', '+2025-05-20', '+2025-02-27']",2026-05-27T07:08:25+1000,True,cold,,,,no_response,,
"law firm in Melbourne, VIC, Australia",law firm,"Melbourne, VIC, Australia",Nevile & Co. Lawyers,"11/100 Collins St, Melbourne VIC 3000, Australia",+61396644700,https://www.nevile.com.au/,False,4.9,,0x6ad642c82fd78aef:0,2026-05-26T21:02:36.185710+00:00,Wednesday9 AM–5 PMThursday9 AM–5 PMFriday9 AM–5 PMSaturdayClosedSundayClosedMonday9 AM–5 PMTuesday9 AM–5 PM,Legal services,https://www.google.com/maps/place/Nevile+%26+Co.+Lawyers/data=!4m7!3m6!1s0x6ad642c82fd78aef:0x95ddf7723010059b!8m2!3d-37.814235!4d144.970016!16s%2Fg%2F1v16qfmq!19sChIJ74rXL8hC1moRmwUQMHL33ZU?authuser=0&hl=en&rclk=1,a16273f2a9a30c7ca32706b69d328ccab00d22659cade7ff7b174d8653c0bd08,2026-05-27,2026-06-09,"['2026-05-27', '2026-06-09']",[],,nevileco@nevile.com.au,"['nevileco@nevile.com.au', 'uico-footer-arrow-r-2@3x.svg']",https://www.nevile.com.au/contact,"{'facebook': 'https://www.facebook.com/NevileCoCommercialLawyers', 'instagram': 'https://www.instagram.com/nevileco100/', 'linkedin': 'https://www.linkedin.com/company/nevile-&amp;-co.-commercial-lawyers', 'twitter': None, 'youtube': None}",high,False,True,fetch_error:403 Client Error: Forbidden for url: https://www.nevile.com.au/,False,False,False,0,100,high,No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),"['047 119 129', '06677593 0', '04860868 4', '0 0 285 285', '03411276', '0 0 600 600', '03 9664 4700', '0591419 0', '+61396644700']",2026-05-27T07:08:42+1000,True,cold,,,,no_response,,
